model,accuracy,precision_benign,recall_benign,roc_auc_benign
Logistic Regression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9953703703703703
Decision Tree,0.9385964912280702,0.9577464788732394,0.9444444444444444,0.9467592592592593
Random Forest,0.9385964912280702,0.9577464788732394,0.9444444444444444,0.9940476190476191
